pomposity,learning_curve,optimism,atleast,done_percent,sDR_param1,sDR_param2
0.55,98.4,3.43,78.36,14.34,0.87,1.48
0.56,46.27,3.4,51.13,17.18,0.52,8.84
0.96,79.17,1.56,37.48,75.7,0.04,2.55
0.57,99.94,6.51,65.79,6.42,0.54,7.18
0.83,40.14,5.13,90.93,65.11,0.69,5.02
0.42,37.25,1.32,21.52,22.67,0.53,8.17
0.83,41.32,1.23,14.65,25.95,0.92,6.54
0.68,6.73,3.03,70.78,63.69,0.72,8.88
0.32,25.24,0.53,92.89,35.88,0.68,7.68
0.35,23.77,2.13,94.87,9.03,0.44,5.33
0.15,71.77,2.64,28.53,43.22,0.52,6.53
0.78,73.33,7.28,10.34,16.29,0.31,6.27
0.42,21.37,9.6,74.92,22.71,0.53,1.3
0.69,97.61,7.02,99.04,47.42,0.19,5.18
0.25,41.03,5.44,71.36,66.94,0.27,9.52
0.06,39.37,3.65,34.98,36.53,0.43,7.93
0.9,68.06,9.2,9.79,23.31,0.05,8.09
0.56,27.2,7.97,9.74,27.66,0.57,2.82
0.89,16.87,5.99,23.62,15.52,0.97,2.74
0.18,22.01,3.48,54.32,71.72,0.53,8.02
0.87,54.75,6.39,80.96,31.82,0.26,2.8
0.52,64.01,9.04,10.28,57.44,0.04,7.84
0.18,3.11,5.82,78.53,95.31,0.93,4.79
0.76,43.74,7.57,57.81,8.21,0.16,1.16
0.42,66.2,3.27,85.69,6.34,0.65,1.77
0.27,16.6,8.5,46.8,95.3,0.28,8.81
0.59,74.01,2.86,66.88,59.28,0.82,5.38
0.5,52.51,5.89,94.87,17.32,0.19,9.34
0.61,4.99,2.11,62.85,38.52,0.66,2.87
0.98,50.83,7.19,13.88,2.19,0.11,3.58
0.72,39.68,1.49,87.02,70.4,0.42,9.76
0.41,1.11,5.25,38.42,10.21,0.19,2.45
0.62,70.13,5.87,22.07,17.65,0.33,4.95
0.75,68.38,3.25,56.4,23.96,0.74,1.15
0.63,22.06,8.38,32.61,54.3,0.2,6.81
0.39,95.87,4.96,29.19,12.59,0.05,5.94
0.95,15.97,0.21,13.12,40.73,0.49,7.98
0.66,99.49,2.14,2.73,68.0,0.61,3.64
0.27,29.23,4.14,5.67,46.4,0.73,8.47
0.81,88.46,0.24,94.65,18.88,0.11,2.23
0.71,31.49,8.81,35.38,77.29,0.66,3.99
0.93,8.76,6.43,25.58,36.46,0.68,5.13
0.03,52.28,1.2,4.37,98.18,0.46,5.72
0.97,4.62,3.34,50.95,4.8,0.84,3.22
0.4,94.03,6.09,40.97,45.84,0.28,3.86
0.85,10.06,8.36,54.2,87.0,0.3,4.43
1.0,95.77,8.73,79.63,59.16,0.85,5.38
0.45,70.03,7.35,46.49,26.88,0.5,8.28
0.83,74.58,5.21,91.28,65.18,0.61,6.73
0.44,59.54,8.55,5.75,87.48,0.09,1.91
0.57,96.88,7.97,95.95,70.4,0.64,1.69
0.74,48.39,6.8,93.06,39.04,0.83,5.75
0.57,77.39,1.7,0.84,43.85,0.34,4.25
0.93,37.06,2.62,63.68,97.12,0.87,5.92
0.35,54.59,5.98,79.93,55.0,0.62,3.44
0.37,1.28,8.19,88.88,53.42,0.77,7.19
0.72,63.1,2.45,34.02,25.48,0.77,4.36
0.56,96.44,1.25,31.53,16.29,1.0,6.01
0.3,6.91,5.51,32.72,34.4,0.4,6.09
0.01,78.83,0.3,7.11,66.7,0.67,9.05
0.44,30.88,0.52,30.56,65.37,0.52,3.78
0.5,23.04,5.61,14.16,74.75,0.64,2.45
0.91,44.38,2.55,19.25,95.19,0.64,2.45
0.51,88.19,9.78,93.86,44.18,0.44,5.02
0.91,31.79,5.8,44.26,26.56,0.29,2.93
0.03,17.64,4.94,20.1,55.8,0.12,9.65
0.31,95.37,5.25,70.21,58.79,0.83,8.5
0.87,32.63,1.04,86.99,20.12,0.98,5.26
0.2,95.29,8.85,97.22,5.47,0.65,8.61
0.23,36.15,3.0,26.03,32.7,0.48,6.63
0.32,54.2,3.85,77.11,20.46,0.58,1.89
0.88,85.88,8.12,97.33,60.8,0.89,1.02
0.91,8.81,3.94,41.91,12.98,0.89,1.88
0.73,16.54,6.52,96.71,50.68,0.99,6.33
0.55,38.86,4.75,76.32,93.36,0.85,1.48
0.22,87.3,6.94,86.61,87.36,0.16,7.99
0.16,30.71,1.62,42.94,7.04,0.49,9.91
0.35,30.45,5.5,90.68,10.17,0.3,8.25
0.09,59.61,3.22,60.68,1.15,0.43,4.89
0.99,33.55,3.81,90.64,47.11,0.36,9.35
0.77,53.19,9.05,28.03,30.52,0.92,4.37
0.2,3.15,8.76,84.56,54.62,0.94,3.44
0.72,90.67,3.68,77.09,73.08,0.69,2.5
0.09,91.14,9.41,21.48,81.86,0.72,9.1
0.18,19.58,2.4,25.92,43.65,0.3,2.17
0.65,21.41,1.23,38.75,49.1,0.09,6.81
0.35,49.7,0.9,97.12,7.35,0.39,3.47
0.74,56.35,1.31,3.6,83.71,0.28,6.15
0.42,63.47,1.15,78.03,81.96,0.71,2.32
0.54,58.81,8.27,61.32,39.1,0.12,8.91
0.73,81.44,9.52,1.39,81.45,0.62,1.64
0.42,74.48,0.82,19.54,23.1,0.6,2.67
0.47,18.19,3.17,48.14,60.22,0.01,4.82
0.68,55.15,9.86,4.39,48.55,0.55,6.52
0.81,2.56,3.65,13.85,84.97,0.92,4.55
0.7,31.95,6.8,61.38,64.04,0.69,4.16
0.47,12.97,7.61,98.34,52.91,0.78,2.64
0.86,24.01,6.25,82.7,18.62,0.41,1.8
0.78,81.61,1.72,12.6,18.75,0.11,9.81
0.37,37.51,4.69,24.41,8.33,0.54,4.87
0.98,87.52,1.65,91.31,31.45,0.43,5.25
0.16,5.83,7.58,95.09,92.22,0.52,5.91
0.16,45.39,4.11,19.77,33.44,0.41,1.76
0.25,90.76,7.61,35.08,9.78,0.68,9.44
0.26,80.88,8.75,1.99,48.58,0.77,5.93
0.73,71.71,8.86,26.44,53.34,0.34,7.93
0.31,40.67,2.25,29.76,89.03,0.44,1.51
0.5,95.32,1.39,11.79,32.67,0.04,1.87
0.71,77.97,3.85,61.53,75.68,0.14,8.72
0.85,86.0,9.11,31.41,34.44,0.61,6.47
0.64,74.31,2.74,27.47,20.3,0.28,7.1
0.28,66.28,3.28,73.49,81.83,0.22,7.18
0.21,56.4,0.44,18.46,44.36,0.73,3.64
0.39,48.97,5.87,1.84,24.41,0.93,3.12
0.0,50.72,6.08,91.33,12.02,0.05,1.43
0.85,2.89,8.59,4.61,11.01,0.4,5.65
0.13,83.92,1.85,42.78,75.03,0.76,1.29
0.45,77.0,8.96,64.3,38.26,0.17,8.68
0.53,2.79,1.58,62.19,31.84,0.13,4.76
0.55,97.3,8.98,65.8,20.92,0.66,9.14
0.97,90.54,6.05,19.87,81.1,0.1,9.59
0.08,35.99,5.2,67.18,33.61,0.56,4.09
0.4,21.32,8.09,10.16,89.1,0.65,2.74
0.51,41.93,9.2,69.76,75.19,0.42,3.18
0.36,23.13,7.6,84.97,14.7,0.75,6.43
0.46,64.23,9.81,47.95,72.56,0.27,8.95
0.47,84.84,9.47,68.08,90.52,0.12,3.32
0.89,37.03,7.78,38.23,79.61,0.41,6.25
0.98,85.89,4.87,67.58,4.6,0.06,3.34
0.77,82.05,5.6,40.26,8.87,0.64,2.95
0.55,43.35,5.25,29.43,18.92,0.53,8.37
0.31,22.71,7.65,85.4,61.18,0.08,2.23
0.51,87.17,2.47,59.88,71.95,0.8,6.3
0.97,74.99,0.6,98.4,12.09,0.19,8.11
0.4,83.8,5.1,82.09,14.08,0.45,9.09
0.82,31.46,7.11,84.99,84.71,0.14,6.62
0.28,74.52,9.91,32.24,61.2,0.46,6.37
0.63,4.94,6.03,64.06,88.99,0.68,7.3
0.68,65.94,8.45,75.14,74.44,0.65,3.73
0.05,21.14,3.6,67.57,35.5,0.19,5.2
0.84,13.66,3.1,23.26,64.11,0.25,4.66
0.41,21.16,0.96,55.71,75.4,0.79,1.02
0.72,57.03,1.19,26.53,42.84,0.28,5.88
0.18,12.35,0.5,85.2,27.91,0.22,5.37
0.8,35.13,7.88,78.34,53.41,0.77,1.79
0.56,74.76,2.3,71.69,42.01,0.94,4.9
0.37,66.46,5.94,79.59,54.28,0.06,2.65
0.21,23.62,2.04,82.72,13.92,0.04,2.06
0.67,89.58,1.45,59.25,22.29,0.14,9.43
0.69,54.26,9.58,31.31,1.59,0.64,2.26
0.94,6.24,0.13,23.42,73.78,0.68,7.49
0.32,19.63,5.01,80.04,70.63,0.91,7.3
0.37,11.84,6.32,19.11,59.4,0.37,5.3
0.57,8.09,4.18,41.1,94.4,0.35,4.49
0.57,33.63,0.45,60.09,25.59,0.32,8.72
0.61,35.82,6.66,76.22,50.99,0.21,3.4
0.98,83.61,4.42,80.2,69.82,0.69,9.47
0.63,83.71,1.47,26.94,42.18,0.65,4.31
0.14,66.09,8.58,29.59,45.83,0.66,9.62
0.46,9.5,5.86,64.54,78.66,0.9,2.86
0.15,99.56,1.09,95.67,3.58,0.4,5.67
0.42,16.99,3.95,61.69,97.58,0.84,2.58
0.78,37.01,3.32,26.31,53.92,0.08,4.64
0.42,5.63,7.8,11.17,78.95,0.19,7.89
0.19,78.73,2.24,24.16,17.17,0.77,4.14
0.16,34.4,9.21,51.08,99.49,0.59,6.17
0.18,81.71,5.3,7.21,5.63,0.48,6.57
0.9,6.21,8.65,90.59,76.1,0.05,6.36
0.88,72.97,8.8,79.46,7.6,0.89,3.13
0.64,63.24,8.89,59.02,83.07,0.61,5.36
0.23,41.52,4.87,90.26,63.62,0.61,2.79
0.15,20.05,9.71,71.24,94.06,0.69,4.33
0.42,50.08,1.42,62.81,81.49,0.76,4.42
0.84,45.14,7.35,57.41,37.74,0.31,7.91
0.11,44.1,7.05,91.77,18.41,0.06,6.08
0.87,56.61,8.07,3.27,30.3,0.94,6.03
0.04,61.92,4.94,79.35,59.88,0.46,4.01
0.93,64.1,4.07,57.73,90.75,0.02,8.29
0.93,83.96,0.44,63.21,60.47,0.3,8.11
0.06,12.76,1.25,97.9,10.98,0.75,7.14
0.14,89.29,5.54,11.53,70.87,0.66,3.74
0.47,88.14,7.45,59.78,15.48,0.81,3.23
0.84,27.91,8.66,86.77,14.86,0.35,7.52
0.85,53.37,7.53,23.25,8.6,0.64,4.65
0.73,46.97,9.63,95.62,60.88,0.83,6.81
0.25,60.51,7.97,55.21,84.17,0.46,2.69
0.26,19.88,8.94,87.51,37.05,0.05,1.67
0.8,34.11,7.59,24.44,84.71,0.21,6.02
0.67,10.6,2.59,73.91,99.78,0.52,4.91
0.19,99.78,8.09,30.1,57.61,0.78,7.67
0.53,98.25,2.68,8.27,32.88,0.24,3.04
0.34,39.25,5.55,67.47,64.14,0.58,1.85
0.3,72.81,8.71,53.21,33.9,0.08,7.63
0.31,97.16,3.8,41.54,83.88,0.3,1.8
0.4,70.48,6.02,39.81,47.75,0.26,8.73
0.15,9.63,1.64,40.73,79.12,0.02,7.22
0.47,7.95,1.79,23.99,16.55,0.94,5.84
0.54,78.36,7.42,83.96,63.87,0.13,2.51
0.62,42.5,4.77,71.01,32.95,0.96,4.61
0.6,19.68,7.41,14.41,87.74,0.98,2.21
0.19,20.91,9.26,60.14,21.4,0.31,1.12
0.43,13.95,7.57,82.44,67.62,0.27,6.82
0.9,82.06,6.82,16.7,90.3,0.4,8.65
0.37,69.6,6.36,12.22,78.45,0.97,9.39
0.58,84.65,6.88,65.12,37.84,0.78,3.71
0.71,29.19,6.09,36.34,89.18,0.5,4.01
0.16,33.05,9.78,87.96,73.07,0.71,5.46
0.31,5.71,1.87,17.83,44.91,0.62,1.38
0.73,59.4,3.1,71.58,95.58,0.84,1.37
0.81,57.11,9.33,13.05,31.56,0.45,7.69
0.85,2.13,9.33,59.75,15.54,0.02,3.53
0.84,79.37,6.95,62.54,6.18,0.76,3.77
0.47,86.03,0.46,54.64,44.47,0.24,2.43
0.97,52.46,9.53,20.52,6.46,0.95,4.82
0.21,95.79,6.45,7.06,52.85,0.28,5.37
0.95,92.58,2.3,6.23,80.34,0.62,6.07
0.55,20.15,4.7,14.32,39.5,0.2,5.15
0.86,21.42,9.46,17.75,35.9,0.74,1.17
0.44,28.55,6.95,98.36,72.37,0.47,9.72
0.11,87.43,3.57,43.04,9.56,0.96,3.16
0.51,13.61,0.49,6.0,48.14,0.25,5.36
0.95,55.3,5.6,55.26,99.33,0.62,5.53
0.57,26.55,7.3,53.31,7.14,0.91,2.82
0.76,3.83,4.92,54.49,54.12,0.64,4.0
0.21,87.72,2.81,46.69,1.95,0.15,4.99
0.36,16.77,6.24,60.27,73.65,0.65,8.1
0.2,32.3,1.0,95.95,13.85,0.97,2.85
0.65,92.75,0.19,46.23,5.61,0.49,3.83
0.17,3.73,8.23,35.34,50.83,0.21,1.33
0.68,47.98,3.12,5.05,99.31,0.62,1.65
0.68,20.62,7.62,46.83,50.55,0.13,5.68
0.07,26.26,3.16,67.07,79.78,0.42,9.82
0.97,91.05,5.11,8.24,9.77,0.9,8.74
0.03,90.2,6.45,25.0,94.58,0.71,4.8
0.18,54.45,5.3,36.95,2.61,0.28,2.36
0.85,87.12,2.93,28.31,74.5,0.68,5.66
0.26,39.58,3.93,88.77,17.07,0.01,4.09
0.07,55.14,8.37,33.61,52.15,0.54,3.15
0.75,25.81,5.73,36.6,16.58,0.8,9.98
0.11,94.24,8.58,73.66,69.76,0.71,1.49
0.99,1.48,7.64,48.67,22.96,0.96,5.68
0.68,14.39,6.05,40.37,93.94,0.54,7.01
0.85,10.65,7.73,84.37,92.05,0.74,2.73
0.04,24.32,4.77,90.5,50.82,0.49,2.1
0.83,38.73,6.86,41.73,31.6,0.51,8.55
0.27,45.13,9.25,54.59,72.46,0.54,8.78
0.56,75.71,9.74,64.88,54.27,0.32,3.93
0.01,27.42,7.07,27.18,69.71,0.58,4.88
0.5,15.72,9.43,93.5,8.64,0.36,2.19
0.9,15.6,7.27,61.51,84.17,0.73,3.89
0.49,52.48,7.69,50.52,34.34,0.32,3.78
0.25,36.9,6.68,50.17,48.28,0.29,8.08
0.53,15.66,5.57,41.68,92.69,0.95,2.73
0.27,64.67,6.9,32.44,74.79,0.88,4.64
0.02,88.2,1.34,23.92,19.98,0.53,5.88
0.56,61.35,0.56,92.83,57.92,0.45,2.04
0.12,95.75,1.36,35.89,9.39,0.83,5.68
0.85,96.51,5.75,63.3,21.72,0.13,2.49
0.53,66.22,0.29,76.37,45.13,0.76,4.86
0.24,99.16,3.96,11.66,76.92,0.66,3.82
0.31,42.01,5.89,65.0,50.73,0.37,5.43
0.77,15.33,7.35,57.16,25.5,0.78,2.76
0.77,44.83,7.02,62.25,77.61,0.17,3.48
0.46,3.1,8.23,82.02,9.67,0.74,8.04
0.93,79.26,8.23,21.74,58.32,0.39,9.07
0.19,52.83,1.79,32.73,16.34,0.56,8.56
0.32,4.82,8.5,7.13,67.21,0.18,7.64
0.03,37.06,7.87,21.22,76.77,0.76,5.35
0.81,35.72,1.02,89.12,4.92,0.65,6.99
0.47,22.14,6.99,85.53,21.8,0.88,5.57
0.04,28.68,3.78,52.42,83.25,0.93,8.25
0.49,87.99,7.67,16.94,78.84,0.64,8.19
0.88,91.27,9.02,55.16,63.95,0.0,3.55
0.36,22.64,9.71,9.45,17.22,0.83,9.5
0.49,93.0,3.97,95.02,8.41,0.98,9.99
0.28,96.29,8.8,40.46,46.36,0.4,4.77
0.65,80.68,8.49,98.4,78.29,0.6,2.06
0.55,79.68,7.05,83.05,86.14,0.72,3.35
0.59,26.03,1.12,55.96,14.97,0.46,6.08
0.3,83.72,9.35,48.99,92.14,0.39,4.93
0.15,52.9,1.85,65.28,29.0,0.77,8.96
0.17,47.82,2.69,24.75,51.78,0.71,2.21
0.38,59.77,2.51,55.32,43.46,0.55,6.79
0.95,24.92,3.52,58.32,22.66,0.48,7.57
0.06,12.64,6.04,80.51,73.04,0.33,1.63
0.32,44.87,2.39,87.96,80.52,0.34,6.95
0.95,53.07,3.96,52.94,24.98,0.66,7.24
0.84,46.82,9.46,18.53,30.59,0.41,2.45
0.36,63.85,1.67,46.98,68.27,0.0,4.4
0.74,32.17,0.27,27.78,77.56,0.35,2.25
0.9,91.53,1.21,94.0,74.21,0.67,2.47
0.32,47.85,3.28,59.38,12.72,0.19,9.16
0.69,96.25,4.61,76.93,67.25,0.06,2.3
0.5,24.37,1.37,20.49,22.67,0.94,6.05
0.81,27.78,2.13,11.37,81.35,0.77,6.16
0.67,46.46,1.96,67.16,82.8,0.63,3.69
0.99,37.89,1.6,3.82,43.33,0.79,8.67
0.31,26.43,5.88,10.49,99.72,0.72,2.34
0.41,68.82,8.01,72.73,59.71,0.7,8.93
0.73,38.37,6.31,72.47,62.28,0.95,1.75
0.68,49.36,5.22,45.21,75.56,0.88,6.18
0.03,32.7,4.54,7.47,71.88,0.91,8.34
0.18,68.62,0.66,56.37,89.38,0.56,3.11
